,Q1,Q2,Q3,Q4,Q5,Total 
,3,4.5,2,3,3,15.5
,2,4,2,3.5,3.5,15
,2,4,2,3,2,13
,3,3,2,3,3,14
,2,3,2,4,4,15
,3,4.5,2,4.5,4,18
,2,4,2,3,4,15
,2,2,0,0,2,6
,2,2,1,0,2,7
,2,1,2,1.5,2.5,9
,2.5,4,2,5,3.5,17
,1.5,3.5,2,3.5,4,14.5
,1,2,1,2,0,6
,2,5,1.5,4,4,16.5
,3,4,2,3,5,17
,3,3.5,2,2,2,12.5
,2.5,2.5,1.5,5,4,15.5
,3,4,2,5,2.5,16.5
,2,3,0.5,2,1,8.5
,2.5,4,2,2.5,3,14
,2,4,1.5,0,3,10.5
,3,3.5,1.5,4.5,2,14.5
,2,4,1.5,0,2.5,10
,3,3.5,1.5,4,3,15
,2,4,1.5,3.5,2,13
,3,4.5,2,3,5,17.5
,3,5,2,1.5,3,14.5
,2,1.5,1.5,1.5,3,9.5
,3,4,1.5,1,3.5,13
,3,4,1,3.5,2.5,14
,1,2,1,0,3,7
,3,5,1.5,2.5,2,14
,3,5,2,0.5,3,13.5
,2,3.5,2,4,2,13.5
,3,4.5,2,3,2,14.5
,2,2.5,2,0.5,2.5,9.5
,2,2.5,1.5,2,2,10
,2.5,2.5,2,0,1.5,8.5
,2,1,1,1.5,2,7.5
,2,4,2,5,5,18
,2,3.5,2,4,2,13.5
,2,4,1,1.5,0,8.5
,2,3,2,1,3.5,11.5
,2,2,2,1.5,3,10.5
,2,2,0,1.5,2,7.5
,2,3.5,2,3,2,12.5
,3,5,2,5,4,19
,3,5,2,5,3.5,18.5
,2,3.5,1.5,4,2,13
,2,2,0,0.5,2,6.5
,3,4,1,1,1,10
,3,4,2,0,2,11
,2,1,1,0,2,6
,2,2,2,3,3.5,12.15
,2,3,2,1.5,1.5,10
,2,2,2,1.5,0.5,8
,3,2,2,4,3,14
,2,2,2,1,2,9
,3,3.5,2,2,4,14.5
,2,3.5,2,3,2.5,13
,2,3.5,1,1,2,9.5
,3,4,2,4,2,15
,2,2.5,2,3.5,2.5,12.5
,2,4,0,1.5,2,9.5
,2,4,2,5,3,16
,2,3,2,3,3,13
,2,3,2,1,2,10
,2.5,4,2,4,2.5,15
,1.5,2,1,1,1,6.5
,2,2.5,1.5,1,1,8
,3,3.5,1.5,0,4,12
,3,3.5,2,5,3,16.5
,2,3,1.5,1.5,2,10
,2,3.5,2,3.5,3,14
,1,3.5,1,0,3,8.5
,2.5,0,2,2.5,4,11
,3,3,2,1.5,1.5,11
,1.5,1,0,2,3.5,8
,2,4,2,0,4,12
,3,2.5,2,0.5,2,10
,3,4,2,2,0,11
,3,4,2,4,2,15
,2,4,2,4,1.5,13.5
,3,5,2,4,3,17
,0,2,2,0,3.5,7.5
